trade_area_code,trade_area_name,trade_area_type_code,trade_area_type_name,district_code,district_name,admin_dong_code,admin_dong_name,x_epsg5181,y_epsg5181,longitude,latitude,area_sqm,area_ha,name_changed_flag,source_base_date
3110089,서빙고동주민센터,A,골목상권,11170,용산구,11170690,서빙고동,199668.0,446947.0,126.99624432190274,37.52201036637078,105979.0,10.5979,False,2023-06-01
3110090,한국폴리텍대학서울정수캠퍼스,A,골목상권,11170,용산구,11170700,보광동,199734.0,447571.0,126.99699070678436,37.527632642283486,97059.0,9.7059,False,2023-06-01
3110091,리움미술관,A,골목상권,11170,용산구,11170685,한남동,199856.0,448602.0,126.9983707068735,37.5369219916481,55141.0,5.5141,False,2023-06-01
3110092,NH농협은행 보광동지점,A,골목상권,11170,용산구,11170700,보광동,199990.0,447728.0,126.99988686653968,37.529047253381385,105153.0,10.5153,False,2023-06-01
3110093,우사단길,A,골목상권,11170,용산구,11170685,한남동,200024.0,448092.0,127.00027153219374,37.532326898339115,234768.0,23.4768,False,2023-06-01
3110094,오산중학교,A,골목상권,11170,용산구,11170700,보광동,200102.0,447300.0,127.00115390189413,37.52519095933031,21603.0,2.1603,False,2023-06-01
3110095,한강진역 3번,A,골목상권,11170,용산구,11170685,한남동,200198.0,448658.0,127.00224029314316,37.53742654188432,149192.0,14.9192,False,2023-06-01
3110096,한남힐사이드아파트,A,골목상권,11170,용산구,11170685,한남동,200260.0,449313.0,127.00294203094971,37.54332807616182,50068.0,5.0068,False,2023-06-01
3110097,한남초등학교,A,골목상권,11170,용산구,11170685,한남동,200536.0,448696.0,127.00606465965808,37.537768787550284,7814.0,0.7814,False,2023-06-01
3110098,서울독일학교,A,골목상권,11170,용산구,11170685,한남동,200952.0,448510.0,127.01077131857869,37.53609259116195,41414.0,4.1414,False,2023-06-01
3110099,유엔빌리지길,A,골목상권,11170,용산구,11170685,한남동,201076.0,448324.0,127.01217403299697,37.53441659353365,263187.0,26.3187,False,2023-06-01
3110100,옥수동우편취급국,A,골목상권,11200,성동구,11200645,옥수동,200870.0,449042.0,127.00984416707493,37.54088599334358,26060.0,2.606,False,2023-06-01
3110101,옥정중학교,A,골목상권,11200,성동구,11200645,옥수동,201109.0,449012.0,127.01254843888397,37.54061543697716,23818.0,2.3818,False,2023-06-01
3110102,옥수역 6번,A,골목상권,11200,성동구,11200645,옥수동,201423.0,449294.0,127.01610192459859,37.54315582509252,34682.0,3.4682,False,2023-06-01
3110103,옥수터널,A,골목상권,11200,성동구,11200620,금호4가동,201450.0,449586.0,127.01640801908283,37.54578670095676,19057.0,1.9057,False,2023-06-01
3110104,신금호역 4번,A,골목상권,11200,성동구,11200615,금호2·3가동,201782.0,450233.0,127.02016645992707,37.55161558024484,66838.0,6.6838,False,2023-06-01
3110105,금동어린이공원,A,골목상권,11200,성동구,11200615,금호2·3가동,202076.0,449956.0,127.02349280272013,37.549119199705515,69009.0,6.9009,False,2023-06-01
3110106,금북초등학교,A,골목상권,11200,성동구,11200590,금호1가동,202140.0,450763.0,127.02421940373989,37.55639010706067,21366.0,2.1366,False,2023-06-01
3110107,금호사거리,A,골목상권,11200,성동구,11200620,금호4가동,202203.0,449734.0,127.0249293165797,37.54711868794959,22191.0,2.2191,False,2023-06-01
3110108,성동구립금호도서관,A,골목상권,11200,성동구,11200590,금호1가동,202208.0,450534.0,127.02498830324598,37.55432666224857,11778.0,1.1778,False,2023-06-01
3110109,금호삼성래미안아파트,A,골목상권,11200,성동구,11200590,금호1가동,202316.0,450083.0,127.02620913408619,37.55026289612373,29788.0,2.9788,False,2023-06-01
3110110,상왕십리역 6번,A,골목상권,11200,성동구,11200520,왕십리2동,202454.0,451618.0,127.02777595118329,37.56409284732139,51942.0,5.1942,False,2023-06-01
3110111,대현산장미원,A,골목상권,11200,성동구,11200580,응봉동,202636.0,450338.0,127.02983134596828,37.55255958205312,19485.0,1.9485,False,2023-06-01
3110112,행당역 2번,A,골목상권,11200,성동구,11200560,행당1동,202776.0,451078.0,127.03141851074184,37.559226552205814,68591.0,6.8591,False,2023-06-01
3110113,응봉산,A,골목상권,11200,성동구,11200580,응봉동,202786.0,449918.0,127.0315272866025,37.5487749483678,89115.0,8.9115,False,2023-06-01
3110114,왕십리파출소,A,골목상권,11200,성동구,11200535,왕십리도선동,202776.0,451985.0,127.03142194280791,37.56739858870287,27058.0,2.7058,False,2023-06-01
3110115,상왕십리역 3번,A,골목상권,11200,성동구,11200535,왕십리도선동,202799.0,451762.0,127.0316814321283,37.565389298419014,80878.0,8.0878,False,2023-06-01
3110116,청계천박물관,A,골목상권,11200,성동구,11200540,마장동,203093.0,452318.0,127.03501151510882,37.57039789391773,98083.0,9.8083,False,2023-06-01
3110117,성동구보건소,A,골목상권,11200,성동구,11200540,마장동,203124.0,451949.0,127.03536085082365,37.56707311615439,49735.0,4.9735,False,2023-06-01
3110118,왕십리역 9번,A,골목상권,11200,성동구,11200560,행당1동,203170.0,450924.0,127.0358771001951,37.55783774599531,63575.0,6.3575,False,2023-06-01
3110119,마장지하차도,A,골목상권,11200,성동구,11200540,마장동,203308.0,451914.0,127.03744340594402,37.56675712548336,22524.0,2.2524,False,2023-06-01
3110120,서울숲카페거리,A,골목상권,11200,성동구,11200660,성수1가2동,203629.0,449746.0,127.04106609796348,37.547222298412784,34852.0,3.4852,False,2023-06-01
3110121,한양대역 4번,A,골목상권,11200,성동구,11200550,사근동,203699.0,450806.0,127.04186356587276,37.55677259835134,29267.0,2.9267,False,2023-06-01
3110122,마장역 2번,A,골목상권,11200,성동구,11200540,마장동,203900.0,452033.0,127.04414491255066,37.56782699482611,80335.0,8.0335,False,2023-06-01
3110123,마장역 3번,A,골목상권,11200,성동구,11200540,마장동,203977.0,451906.0,127.04501580274007,37.56668240134502,169553.0,16.9553,False,2023-06-01
3110124,뚝섬역교차로,A,골목상권,11200,성동구,11200660,성수1가2동,204001.0,450061.0,127.04527739974375,37.55005890435173,79596.0,7.9596,False,2023-06-01
3110125,사근동살곶이상점가,A,골목상권,11200,성동구,11200550,사근동,204116.0,451277.0,127.04658561903611,37.56101452572639,128923.0,12.8923,False,2023-06-01
3110126,서울숲역 1번,A,골목상권,11200,성동구,11200650,성수1가1동,204113.0,449554.0,127.04654200941063,37.545490349041,18531.0,1.8531,False,2023-06-01
